Packet Loss;File Size;Protocol;Operation;Time;Error
20;100;udp+saw;upload;1.247175707;0
20;100;udp+saw;download;0.744041993;0
20;100;udp+gbn;upload;0.640502853;0
20;100;udp+gbn;download;0.327349184;0
20;100;tcp;upload;0.715946935;0
20;100;tcp;download;7.13284677;0
20;1000;udp+saw;upload;0.045381813;0
20;1000;udp+saw;download;0.940660929;0
20;1000;udp+gbn;upload;0.035346211;0
20;1000;udp+gbn;download;0.042901253;0
20;1000;tcp;upload;0.455976381;0
20;1000;tcp;download;1.067156366;0
20;10000;udp+saw;upload;0.544799266;0
20;10000;udp+saw;download;0.94187268;0
20;10000;udp+gbn;upload;0.846207852;0
20;10000;udp+gbn;download;0.443254566;0
20;10000;tcp;upload;0.45745518;0
20;10000;tcp;download;1.054566602;0
20;100000;udp+saw;upload;4.879946396;0
20;100000;udp+saw;download;5.273104638;0
20;100000;udp+gbn;upload;3.277792538;0
20;100000;udp+gbn;download;2.0625991;0
20;100000;tcp;upload;0.66247672;0
20;100000;tcp;download;4.130697682;0
20;1000000;udp+saw;upload;50.743107197;0
20;1000000;udp+saw;download;60.860356243;0
20;1000000;udp+gbn;upload;27.1929467;0
20;1000000;udp+gbn;download;21.954852681;0
20;1000000;tcp;upload;1.521475725;0
20;1000000;tcp;download;61.650182408;0
10;100;udp+saw;upload;0.03757491;0
10;100;udp+saw;download;0.040505761;0
10;100;udp+gbn;upload;0.141916101;0
10;100;udp+gbn;download;0.440964607;0
10;100;tcp;upload;0.026302867;0
10;100;tcp;download;0.042408892;0
10;1000;udp+saw;upload;0.044358853;0
10;1000;udp+saw;download;0.338739057;0
10;1000;udp+gbn;upload;0.441312787;0
10;1000;udp+gbn;download;0.03616728;0
10;1000;tcp;upload;0.302885207;0
10;1000;tcp;download;0.039864191;0
10;10000;udp+saw;upload;0.237802908;0
10;10000;udp+saw;download;0.048406104;0
10;10000;udp+gbn;upload;0.136808819;0
10;10000;udp+gbn;download;0.241535739;0
10;10000;tcp;upload;3.289883031;0
10;10000;tcp;download;0.040805732;0
10;100000;udp+saw;upload;3.169211877;0
10;100000;udp+saw;download;3.573674123;0
10;100000;udp+gbn;upload;1.665067206;0
10;100000;udp+gbn;download;1.353514568;0
10;100000;tcp;upload;0.043610902;0
10;100000;tcp;download;0.099499698;0
10;1000000;udp+saw;upload;22.386802315;0
10;1000000;udp+saw;download;21.363908762;0
10;1000000;udp+gbn;upload;9.417014845;0
10;1000000;udp+gbn;download;11.84775854;0
10;1000000;tcp;upload;0.059952857;0
10;1000000;tcp;download;1.298439881;0
5;100;udp+saw;upload;0.249340311;0
5;100;udp+saw;download;0.149282512;0
5;100;udp+gbn;upload;0.050657104;0
5;100;udp+gbn;download;0.146773382;0
5;100;tcp;upload;0.252599802;0
5;100;tcp;download;0.047117744;0
5;1000;udp+saw;upload;0.250167361;0
5;1000;udp+saw;download;0.250060582;0
5;1000;udp+gbn;upload;0.044378323;0
5;1000;udp+gbn;download;0.044606743;0
5;1000;tcp;upload;0.046009453;0
5;1000;tcp;download;0.047106124;0
5;10000;udp+saw;upload;0.451922379;0
5;10000;udp+saw;download;0.253644203;0
5;10000;udp+gbn;upload;0.141347181;0
5;10000;udp+gbn;download;0.150213463;0
5;10000;tcp;upload;0.461132982;0
5;10000;tcp;download;1.05080388;0
5;100000;udp+saw;upload;1.283835837;0
5;100000;udp+saw;download;1.090132032;0
5;100000;udp+gbn;upload;0.259407054;0
5;100000;udp+gbn;download;1.074981158;0
5;100000;tcp;upload;1.064602604;0
5;100000;tcp;download;1.054704012;0
5;1000000;udp+saw;upload;11.246049728;0
5;1000000;udp+saw;download;10.489417991;0
5;1000000;udp+gbn;upload;5.924281755;0
5;1000000;udp+gbn;download;6.473713232;0
5;1000000;tcp;upload;0.269268267;0
5;1000000;tcp;download;1.037706077;0
0;100;udp+saw;upload;0.049360084;0
0;100;udp+saw;download;0.048628344;0
0;100;udp+gbn;upload;0.045200213;0
0;100;udp+gbn;download;0.046040343;0
0;100;tcp;upload;0.043014512;0
0;100;tcp;download;0.047502484;0
0;1000;udp+saw;upload;0.048409553;0
0;1000;udp+saw;download;0.049559765;0
0;1000;udp+gbn;upload;0.044653853;0
0;1000;udp+gbn;download;0.046109913;0
0;1000;tcp;upload;0.045943713;0
0;1000;tcp;download;0.037503791;0
0;10000;udp+saw;upload;0.052471545;0
0;10000;udp+saw;download;0.049546544;0
0;10000;udp+gbn;upload;0.043152043;0
0;10000;udp+gbn;download;0.049044744;0
0;10000;tcp;upload;0.047677584;0
0;10000;tcp;download;0.048215524;0
0;100000;udp+saw;upload;0.066798179;0
0;100000;udp+saw;download;0.0711266;0
0;100000;udp+gbn;upload;0.056133736;0
0;100000;udp+gbn;download;0.053812645;0
0;100000;tcp;upload;0.049025504;0
0;100000;tcp;download;0.049901615;0
0;1000000;udp+saw;upload;0.233191287;0
0;1000000;udp+saw;download;0.237096668;0
0;1000000;udp+gbn;upload;0.100554569;0
0;1000000;udp+gbn;download;0.096714758;0
0;1000000;tcp;upload;0.061180507;0
0;1000000;tcp;download;0.063668379;0
